# ----------------------------------------
# Landing Pages Organic Search
# Account: Trial Interactive
# Property: Trial Interactive - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260601
Landing page + query string,Sessions,Total users,Key events,Session key event rate
/,613,374,7,0.008156606851549755
/blog/back-basics-satellite-sites-clinical-trials,136,110,0,0
(not set),121,101,0,0
/etmf-tmf-solutions/etmf,67,60,0,0
/etmf-tmf-solutions/automate,53,37,0,0
/optimize-tmf-roadshow-2026,53,25,0,0
/eISF,48,46,0,0
/thought-leadership/summary-critical-details-and-faq-your-tmf-management-resource,40,39,0,0
/events,37,23,0,0
/blog/back-basics-part-3-essential-documents-vs-expected-documents-vs-required-documents,34,30,0,0
/investigator-database,34,33,0,0
/event/optimize-tmf-roadshow-paris,28,19,0,0
/event/optimize-2026-london,27,15,0,0
/CTMS,23,21,1,0.043478260869565216
/event/optimize-tmf-roadshow-barcelona,19,10,0,0
/thought-leadership/essential-etmf-checklist-resource,19,18,0,0
/thought-leadership/ctms-implementation-checklist-resource,16,15,1,0.0625
/blog/applying-addie-model-training-elearning-practical-perspective,15,14,0,0
/etmf-tmf-solutions/tmf-inspection-readiness/tmf-workshops,15,12,0,0
/event/optimize-tmf-roadshow-copenhagen,15,7,0,0
/learning-management-system,15,14,0,0
/optimize-2026,15,14,0,0
/eArchive,13,10,0,0
/etmf-tmf-solutions,13,13,1,0.07692307692307693
/thought-leadership/etmf-implementation-checklist-resource,12,12,0,0
/thought-leadership/etmf-migration-resource,12,10,0,0
/ICH-E6R3-GCP,11,10,0,0
/blog/tmf-management-ensuring-effective-sponsor-oversight,11,10,0,0
/efeasibility,11,11,0,0
/optimize2024,11,9,5,0.18181818181818182
/eCTD-Submission-Solution,10,9,0,0
/thought-leadership/introduction-pharmacovigilance-system-master-file-resource,10,10,0,0
/about,9,7,0,0
/blog/crisis-culture-history-quality-management-systems,9,8,0,0
/blog/everything-you-need-know-about-etmf-audit-trails,9,9,0,0
/blog/role-and-evolution-of-tmf-systems,9,8,0,0
/eclinical-platform,9,8,0,0
/globallearn-compliance-lms,9,9,1,0.1111111111111111
/our-team,9,9,0,0
/service-desk,9,9,0,0
/blog/MHRA-GCP-Symposium,8,6,0,0
/blog/ctms-integration,8,7,0,0
/safety-letter-notifications,8,7,0,0
/study-start-up,8,8,0,0
/access/ultimate-tmf-resource-pack,7,7,8,0.8571428571428571
/blog/AI-in-Clinical-Trials-From-Webinar-Insights-to-Audit-Ready-Implementation,7,7,0,0
/blog/simplifying-cra-reconciliation-5-ways-improve-site-visits,7,6,0,0
/blog/what-tmf-certified-copy,7,5,0,0
/ethris-strengthening-clinical-operations-trial-interactive,7,5,0,0
/etmf-tmf-solutions/tmf-inspection-readiness/tmf-experts,7,7,0,0
/request-a-demo,7,7,0,0
/TMF-Education,6,5,0,0
/blog/five-ways-mitigate-risk-using-ctms,6,5,0,0
/blog/going-complex-etmf-confident-regulatory-submission,6,5,0,0
/blog/how-ai-can-change-quality-management,6,6,0,0
/blog/top-5-skills-successful-tmf-team,6,6,0,0
/etmf-tmf-solutions/myti-mobile-etmf,6,6,0,0
/event/optimize-2026-san-francisco,6,5,0,0
/quality-management-system,6,5,0,0
/thought-leadership/preparing-for-regulatory-inspection,6,5,0,0
/?utm_adgroup=&utm_keyword=trial%20interactive&utm_network=,5,2,0,0
/blog/fdas-growing-use-ai-and-what-it-means-clinical-research-and-etmf,5,5,0,0
/blog/industry-recommendations-reality-whats-new-tmf-reference-model-320,5,4,0,0
/contact,5,4,1,0.2
/etmf-tmf-solutions/tmf-inspection-readiness/tmf-records-services,5,3,0,0
/etmf-tmf-solutions/tmf-services,5,5,0,0
/investigator-meetings,5,4,1,0.2
/thought-leadership/tmf-resource-pack-download-resource/457,5,5,2,0.2
/blog/building-efficient-risk-based-management-process-your-trial-master-file,4,4,0,0
/blog/common-challenges-and-success-stories-cross-functional-collaboration,4,2,0,0
/blog/etmf-integration-minimum-viable-flows-between-ctms-and-eisf,4,4,0,0
/blog/tmf-oversight-challenges-and-solutions-lean-clinical-team,4,3,0,0
/clinical-it-solutions,4,4,0,0
/elearning-service,4,2,0,0
/leadership,4,4,0,0
/thought-leadership/etmf-implementation-checklist-plan-success-resources,4,4,0,0
/thought-leadership/mhra-inspection-insights-ich-e6r3-and-next-chapter-quality/909,4,2,0,0
/thought-leadership/surfacing-your-ctms-and-etmf-using-ai/950,4,4,0,0
/tmf-mock-inspection-internal-quality-review-checklist/867,4,4,0,0
/webinars,4,4,1,0.25
/7-Steps-to-a-Seamless-CTMS-Migration/857,3,3,0,0
/TrialInteractiveXSCOPE,3,3,0,0
/about/cro-partner-program/318,3,2,0,0
/blog/cross-functional-collaboration,3,3,0,0
/blog/establishing-culture-inspection-readiness,3,2,0,0
/blog/role-technology-tmf-management,3,3,0,0
/blog/streamlining-clinical-site-qualification-artificial-intelligence,3,3,1,0.3333333333333333
/blog/tmf-summits-europe-and-oct-barcelona-talking-about-future-tmf,3,3,0,0
/ich-e6r3-tmf-oversight-best-practices-ensuring-compliance-and-quality,3,2,0,0
/our-story,3,2,0,0
/thought-leadership/revolutionizing-etmf-management-leveraging-ai-smarter-faster-clinical-trials/798,3,3,0,0
/thought-leadership/understanding-risk-based-capa,3,2,0,0
/tmf-inspection-readiness-services-case-study,3,3,0,0
/C3-Summit-Compliance-Training-Video,2,2,0,0
/TMF-inspection-risk-score-survey-form/671,2,2,0,0
/archiving-solutions,2,2,0,0
/blog,2,2,0,0
/blog/10-ways-ctms-can-transform-your-trial-management,2,2,0,0
/blog/3-best-practices-compliance-focused-learning-management,2,1,0,0
/blog/The-Hidden-Cost-of-Manual-Study-Management-A-Data-Driven-Analysis,2,2,0,0
/blog/back-basics-part-1-what-etmf,2,2,0,0
/blog/back-basics-part-2-essential-documents,2,2,0,0
/blog/chatbot-co-pilot-why-most-important-ai-clinical-trials-kind-you-dont-notice,2,2,0,0
/blog/clinical-trial-management-systems-data-import-and-visualization,2,2,0,0
/blog/clinical-trial-software-built-around-you,2,2,0,0
/blog/compliance-inspection-steadiness-rethinking-tmf-after-2024-ema-gcp-inspectors-report,2,2,0,0
/blog/how-tmf-study-owners-can-provide-better-tmf-management,2,2,0,0
/blog/machine-learning-etmf-human-aided-active-learning-processes,2,2,0,0
/blog/scaling-oversight-without-micromanaging-lessons-high-performing-sponsors,2,2,0,0
/blog/study-documents-training-requirements-advantages-automating-training-preparation,2,2,0,0
/blog/transforming-trial-oversight-and-compliance-your-ctms,2,2,0,0
/document-management,2,2,0,0
/etmf-tmf-services-scanning-coding-global-case-study,2,2,0,0
/event/optimize-tmf-roadshow-boston,2,2,0,0
/event/optimize-tmf-roadshow-princeton,2,1,0,0
/homea,2,2,0,0
/news,2,2,0,0
/news/wwct-selects-transperfects-etmf-solution,2,2,0,0
/quality,2,2,0,0
/quality-compliance,2,2,0,0
/services/migration,2,1,0,0
/thought-leadership/checklist-accurate-and-complete-clinical-content-management/701,2,2,0,0
/thought-leadership/gvp-and-literature-monitoring-global-world-resource,2,2,0,0
/thought-leadership/ionctura-case-study,2,2,0,0
/thought-leadership/sponsor-oversight-guide/629,2,2,0,0
/thought-leadership/tmf-rescue-checklist/803,2,2,0,0
/thought-leadership/understanding-risk-based-capa/911,2,2,1,0.5
/trial-management,2,2,0,0
/user/login,2,2,0,0
,1,1,0,0
/OpTImize-ClinOps-Webinar/890,1,1,0,0
/access/ai-etmf-webinar/587,1,1,0,0
/access/trust-the-process-tmf-management,1,1,1,1
/blog/choosing-right-survey-tool-clinical-trials,1,1,0,0
/blog/ctms-gap-improving-ctms-experience-study-teams,1,1,0,0
/blog/eisf-growing-pains-whats-holding-back-your-site-trial-documentation,1,1,0,0
/blog/etmf-integration-metadata-moves-mapping-documents-training-and-sites-across-systems,1,1,0,0
/blog/european-accessibility-act-2025-what-you-need-know,1,1,0,0
/blog/how-choose-and-implement-ctms,1,1,0,0
/blog/improvements-ich-gcp-e6r3,1,1,0,0
/blog/key-takeaways-cdisc-tmf-conference,1,1,0,0
/blog/mitigating-clinical-trial-risk-learning-management-system,1,1,0,0
